id,date,time,x,y
35,2004/1/1,1:1:0,374.6,1103.6,
36,2004/1/1,1:1:0,693.2,565.4,
37,2004/1/1,1:1:0,674.6,988,
38,2004/1/1,1:1:0,356.6,1117.4,
39,2004/1/1,1:1:0,581.6,1008.4,
40,2004/1/1,1:1:0,687.2,258.2,
41,2004/1/1,1:1:0,69.4,1015.6,
42,2004/1/1,1:1:0,768.6,688.4,
43,2004/1/1,1:1:0,160.4,566,
44,2004/1/1,1:1:0,712.8,152.4,
45,2004/1/1,1:1:0,571.4,688.4,
46,2004/1/1,1:1:0,90.6,892.4,
47,2004/1/1,1:1:0,555.0,291.4,
48,2004/1/1,1:1:0,579.2,283.8,
49,2004/1/1,1:1:0,677.0,567,
50,2004/1/1,1:1:0,364.0,1093.6,
51,2004/1/1,1:1:0,707.8,241.4,
52,2004/1/1,1:1:0,689.6,131,
53,2004/1/1,1:1:0,570.4,113.8,
54,2004/1/1,1:1:0,142.2,175.6,
55,2004/1/1,1:1:0,201.2,1212.2,
56,2004/1/1,1:1:0,265.4,984.4,
57,2004/1/1,1:1:0,645.0,1053,
58,2004/1/1,1:1:0,756.2,1095.6,
59,2004/1/1,1:1:0,454.4,1043.8,
60,2004/1/1,1:1:0,567.8,670.2,
61,2004/1/1,1:1:0,135.2,544,
62,2004/1/1,1:1:0,159.6,573.2,
63,2004/1/1,1:1:0,74.0,771.6,
64,2004/1/1,1:1:0,475.8,679.6,
65,2004/1/1,1:1:0,362.4,582,
66,2004/1/1,1:1:0,125.2,159.4,
67,2004/1/1,1:1:0,303.6,372,
68,2004/1/1,1:1:0,571.8,1123.2,
69,2004/1/1,1:1:0,590.2,578.8,
70,2004/1/1,1:1:0,724.4,466.8,
71,2004/1/1,1:1:0,444.4,159.2,
72,2004/1/1,1:1:0,741.0,33.2,
73,2004/1/1,1:1:0,265.4,992,
74,2004/1/1,1:1:0,742.4,891.2,
75,2004/1/1,1:1:0,559.4,582.8,
76,2004/1/1,1:1:0,273.6,602.8,
77,2004/1/1,1:1:0,608.8,695.2,
78,2004/1/1,1:1:0,92.6,899.8,
79,2004/1/1,1:1:0,756.4,67.2,
80,2004/1/1,1:1:0,139.6,548.6,
81,2004/1/1,1:1:0,646.0,192.6,
82,2004/1/1,1:1:0,557.6,579.4,
83,2004/1/1,1:1:0,352.0,258.6,
84,2004/1/1,1:1:0,624.8,662,
85,2004/1/1,1:1:0,203.4,700.2,
86,2004/1/1,1:1:0,122.0,1198.4,
87,2004/1/1,1:1:0,690.0,251.6,
88,2004/1/1,1:1:0,739.0,801.6,
89,2004/1/1,1:1:0,282.0,695.8,
90,2004/1/1,1:1:0,94.6,909,
91,2004/1/1,1:1:0,507.0,634.8,
92,2004/1/1,1:1:0,355.8,688.8,
93,2004/1/1,1:1:0,549.2,1093,
94,2004/1/1,1:1:0,571.0,1113.4,
95,2004/1/1,1:1:0,88.2,626.4,
96,2004/1/1,1:1:0,472.6,148.2,
97,2004/1/1,1:1:0,518.6,785.6,
98,2004/1/1,1:1:0,164.0,241.6,
99,2004/1/1,1:1:0,739.8,884.2,
100,2004/1/1,1:1:0,107.4,623,
1,2004/1/1,1:2:0,187.4,200.6,
2,2004/1/1,1:2:0,492,202.8,
3,2004/1/1,1:2:0,363.2,551.8,
4,2004/1/1,1:2:0,658,254.6,
5,2004/1/1,1:2:0,209.4,203.6,
6,2004/1/1,1:2:0,698.4,986.6,
7,2004/1/1,1:2:0,365.4,167.4,
8,2004/1/1,1:2:0,541.4,121.8,
9,2004/1/1,1:2:0,745,210.2,
10,2004/1/1,1:2:0,691.2,207.8,
11,2004/1/1,1:2:0,735,879.0,
12,2004/1/1,1:2:0,93,1208.8,
13,2004/1/1,1:2:0,473.6,137.8,
14,2004/1/1,1:2:0,719.8,42.0,
15,2004/1/1,1:2:0,668.8,127.4,
16,2004/1/1,1:2:0,533.4,892.8,
17,2004/1/1,1:2:0,582.4,155.6,
18,2004/1/1,1:2:0,213.4,1118.2,
19,2004/1/1,1:2:0,219.8,1024.6,
20,2004/1/1,1:2:0,304.2,706.8,
21,2004/1/1,1:2:0,567.2,771.0,
22,2004/1/1,1:2:0,333.2,624.0,
23,2004/1/1,1:2:0,311,911.8,
24,2004/1/1,1:2:0,557,683.6,
25,2004/1/1,1:2:0,163,950.6,
26,2004/1/1,1:2:0,579,664.0,
27,2004/1/1,1:2:0,631.8,432.2,
28,2004/1/1,1:2:0,247.8,1113.0,
29,2004/1/1,1:2:0,530.6,624.6,
30,2004/1/1,1:2:0,637.6,401.6,
31,2004/1/1,1:2:0,261.2,566.8,
32,2004/1/1,1:2:0,302,41.0,
33,2004/1/1,1:2:0,260.6,278.0,
34,2004/1/1,1:2:0,152.4,981.6,
35,2004/1/1,1:2:0,373,1104.6,
36,2004/1/1,1:2:0,693.6,567.2,
37,2004/1/1,1:2:0,673.2,989.6,
38,2004/1/1,1:2:0,358.2,1117.0,
39,2004/1/1,1:2:0,582.4,1010.2,
40,2004/1/1,1:2:0,688.6,257.8,
41,2004/1/1,1:2:0,69.8,1014.4,
42,2004/1/1,1:2:0,768,687.6,
43,2004/1/1,1:2:0,159.4,566.6,
44,2004/1/1,1:2:0,713.4,153.2,
45,2004/1/1,1:2:0,570,688.4,
46,2004/1/1,1:2:0,91.6,894.0,
47,2004/1/1,1:2:0,555.4,293.0,
48,2004/1/1,1:2:0,581,284.6,
49,2004/1/1,1:2:0,676.8,565.4,
50,2004/1/1,1:2:0,365.4,1094.0,
51,2004/1/1,1:2:0,709,240.0,
52,2004/1/1,1:2:0,688.2,131.6,
53,2004/1/1,1:2:0,572,115.0,
54,2004/1/1,1:2:0,142,175.8,
55,2004/1/1,1:2:0,202.4,1210.4,
56,2004/1/1,1:2:0,266.2,984.4,
57,2004/1/1,1:2:0,664.2,1051.4,
58,2004/1/1,1:2:0,755,1095.0,
59,2004/1/1,1:2:0,450.4,1044.2,
60,2004/1/1,1:2:0,568.6,669.8,
61,2004/1/1,1:2:0,135.2,544.2,
62,2004/1/1,1:2:0,160,573.4,
63,2004/1/1,1:2:0,74.2,772.0,
64,2004/1/1,1:2:0,475.2,679.8,
65,2004/1/1,1:2:0,362.4,582.2,
66,2004/1/1,1:2:0,127,157.6,
67,2004/1/1,1:2:0,302.2,370.6,
68,2004/1/1,1:2:0,570.2,1124.0,
69,2004/1/1,1:2:0,588.6,578.8,
70,2004/1/1,1:2:0,722.6,466.4,
71,2004/1/1,1:2:0,443.8,158.8,
72,2004/1/1,1:2:0,739.2,35.0,
73,2004/1/1,1:2:0,266,991.6,
74,2004/1/1,1:2:0,742.4,892.2,
75,2004/1/1,1:2:0,559.4,582.8,
76,2004/1/1,1:2:0,272.8,602.4,
77,2004/1/1,1:2:0,607.2,693.8,
78,2004/1/1,1:2:0,90.8,898.0,
79,2004/1/1,1:2:0,756.2,67.2,
80,2004/1/1,1:2:0,139.2,549.0,
81,2004/1/1,1:2:0,645.8,192.6,
82,2004/1/1,1:2:0,556.4,580.4,
83,2004/1/1,1:2:0,350.8,259.8,
84,2004/1/1,1:2:0,625.8,672.8,
85,2004/1/1,1:2:0,202,705.4,
86,2004/1/1,1:2:0,122,1198.4,
87,2004/1/1,1:2:0,689.4,252.6,
88,2004/1/1,1:2:0,739,802.0,
89,2004/1/1,1:2:0,282.4,695.0,
90,2004/1/1,1:2:0,96.2,907.8,
91,2004/1/1,1:2:0,521.2,635.4,
92,2004/1/1,1:2:0,355.6,687.8,
93,2004/1/1,1:2:0,548,1092.0,
94,2004/1/1,1:2:0,571,1114.0,
95,2004/1/1,1:2:0,73,626.6,
96,2004/1/1,1:2:0,473.2,150.0,
97,2004/1/1,1:2:0,516.8,785.2,
98,2004/1/1,1:2:0,162.6,242.4,
99,2004/1/1,1:2:0,740.2,882.8,
100,2004/1/1,1:2:0,103.8,622.4,
1,2004/1/1,1:3:0,148,149.2,
2,2004/1/1,1:3:0,487,202.8,
3,2004/1/1,1:3:0,361.6,550.0,
4,2004/1/1,1:3:0,657.6,255.8,
5,2004/1/1,1:3:0,212,195.0,
6,2004/1/1,1:3:0,697,987.0,
7,2004/1/1,1:3:0,366.6,169.0,
8,2004/1/1,1:3:0,542.2,122.2,
9,2004/1/1,1:3:0,768,209.0,
10,2004/1/1,1:3:0,677.6,208.0,
11,2004/1/1,1:3:0,735,879.0,
12,2004/1/1,1:3:0,92.2,1208.4,
13,2004/1/1,1:3:0,473.2,139.4,
14,2004/1/1,1:3:0,721.6,41.0,
15,2004/1/1,1:3:0,669,127.4,
16,2004/1/1,1:3:0,531.6,891.6,
17,2004/1/1,1:3:0,580.6,154.6,
18,2004/1/1,1:3:0,213.4,1100.2,
19,2004/1/1,1:3:0,218,1021.6,
20,2004/1/1,1:3:0,305,708.0,
21,2004/1/1,1:3:0,565.4,769.2,
22,2004/1/1,1:3:0,325,624.2,
23,2004/1/1,1:3:0,310.8,912.4,
24,2004/1/1,1:3:0,558,685.4,
25,2004/1/1,1:3:0,164.2,950.2,
26,2004/1/1,1:3:0,580.8,664.0,
27,2004/1/1,1:3:0,630,455.6,
28,2004/1/1,1:3:0,247,1111.8,
29,2004/1/1,1:3:0,521.4,624.6,
30,2004/1/1,1:3:0,637.8,390.8,
31,2004/1/1,1:3:0,260.8,565.2,
32,2004/1/1,1:3:0,301.2,42.6,
33,2004/1/1,1:3:0,261.8,279.2,
34,2004/1/1,1:3:0,153.2,981.6,
35,2004/1/1,1:3:0,373.6,1104.0,
36,2004/1/1,1:3:0,695.2,566.2,
37,2004/1/1,1:3:0,672.4,990.4,
38,2004/1/1,1:3:0,359.6,1117.0,
39,2004/1/1,1:3:0,580.8,1011.2,
40,2004/1/1,1:3:0,690.2,257.8,
41,2004/1/1,1:3:0,69.4,1012.8,
42,2004/1/1,1:3:0,768.6,687.8,
43,2004/1/1,1:3:0,159.4,566.0,
44,2004/1/1,1:3:0,714.8,153.6,
45,2004/1/1,1:3:0,570.6,689.2,
46,2004/1/1,1:3:0,92.2,895.0,
47,2004/1/1,1:3:0,554.8,294.0,
48,2004/1/1,1:3:0,580.2,285.6,
49,2004/1/1,1:3:0,675.6,565.6,
50,2004/1/1,1:3:0,364.8,1093.2,
51,2004/1/1,1:3:0,708.8,238.8,
52,2004/1/1,1:3:0,689.6,131.6,
53,2004/1/1,1:3:0,571.8,114.0,
54,2004/1/1,1:3:0,142.2,176.4,
55,2004/1/1,1:3:0,201,1214.4,
56,2004/1/1,1:3:0,264.6,982.6,
57,2004/1/1,1:3:0,689.4,1049.8,
58,2004/1/1,1:3:0,755,1093.6,
59,2004/1/1,1:3:0,442.4,1045.4,
60,2004/1/1,1:3:0,567.2,671.4,
61,2004/1/1,1:3:0,136,545.8,
62,2004/1/1,1:3:0,160.2,572.6,
63,2004/1/1,1:3:0,72.4,770.4,
64,2004/1/1,1:3:0,474.2,679.8,
65,2004/1/1,1:3:0,361.4,583.2,
66,2004/1/1,1:3:0,127.6,157.8,
67,2004/1/1,1:3:0,302.4,370.4,
68,2004/1/1,1:3:0,570.4,1122.2,
69,2004/1/1,1:3:0,587.8,579.6,
70,2004/1/1,1:3:0,722.4,465.0,
71,2004/1/1,1:3:0,444.6,160.4,
72,2004/1/1,1:3:0,740,33.2,
73,2004/1/1,1:3:0,267.2,990.8,
74,2004/1/1,1:3:0,741.8,891.4,
75,2004/1/1,1:3:0,558.2,583.4,
76,2004/1/1,1:3:0,274,603.2,
77,2004/1/1,1:3:0,607.6,693.8,
78,2004/1/1,1:3:0,90,897.0,
79,2004/1/1,1:3:0,756.2,68.6,
80,2004/1/1,1:3:0,137.4,550.4,
81,2004/1/1,1:3:0,647.6,192.8,
82,2004/1/1,1:3:0,556.4,582.0,
83,2004/1/1,1:3:0,349.8,258.6,
84,2004/1/1,1:3:0,625,683.8,
85,2004/1/1,1:3:0,202.4,709.2,
86,2004/1/1,1:3:0,121.4,1197.2,
87,2004/1/1,1:3:0,690.2,251.6,
88,2004/1/1,1:3:0,738.4,801.4,
89,2004/1/1,1:3:0,280.6,695.2,
90,2004/1/1,1:3:0,95.2,909.0,
91,2004/1/1,1:3:0,536.8,635.8,
92,2004/1/1,1:3:0,356.6,687.8,
93,2004/1/1,1:3:0,547.6,1090.2,
94,2004/1/1,1:3:0,571,1114.0,
95,2004/1/1,1:3:0,60,624.8,
96,2004/1/1,1:3:0,472.8,150.4,
97,2004/1/1,1:3:0,515.8,783.8,
98,2004/1/1,1:3:0,161,243.4,
99,2004/1/1,1:3:0,741.6,881.8,
100,2004/1/1,1:3:0,100.8,623.6,
1,2004/1/1,1:4:0,146.2,151.0,
2,2004/1/1,1:4:0,482.2,201.0,
3,2004/1/1,1:4:0,362.6,548.6,
4,2004/1/1,1:4:0,659.4,257.0,
